step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.597293853759766,4.605671405792236,0.012043925002217293,0.00926207099109888,21.73651202320544
100,0.14408335089683533,3.2954158782958984,1.0,0.3115699887275696,23.69634322667844
200,0.02069583721458912,2.5370328426361084,1.0,0.3824779689311981,23.04337979464057
300,0.011186458170413971,1.559078335762024,1.0,0.5730336904525757,22.962077383672693
400,0.007109459489583969,1.307719111442566,1.0,0.6556331515312195,22.200788402925067
500,0.0032143632415682077,0.8632891178131104,1.0,0.7977527976036072,22.263149087534863
600,0.006838962435722351,0.16446855664253235,1.0,0.9893714189529419,22.60564599036103
700,0.006311548408120871,0.12119528651237488,1.0,0.9934710264205933,21.648635446877204
800,0.0034112054854631424,0.056977007538080215,1.0,0.9969632625579834,21.937832292564718
900,0.0014627967029809952,0.018807116895914078,1.0,0.9990890026092529,22.737269861360094
1000,0.0006228963029570878,0.00594149949029088,1.0,1.0,23.672434788914003
1100,0.00026828324189409614,0.0018056732369586825,1.0,1.0,24.694489444408905
1200,0.00011712388368323445,0.0005612588138319552,1.0,1.0,25.799457754494846
1300,0.003142574103549123,0.008539331145584583,1.0,0.9998481869697571,25.592176762108725
