step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.604361534118652,4.597073554992676,0.009353741072118282,0.011194558814167976,21.736871635613124
100,0.054684534668922424,5.526223182678223,1.0,0.11378772556781769,25.79446316074194
200,0.006692406255751848,5.829424858093262,1.0,0.13773557543754578,26.59951851791229
300,0.0018547696527093649,6.046086311340332,1.0,0.1487884372472763,27.07921407538915
400,0.0005862620892003179,6.267480373382568,1.0,0.15672382712364197,27.52001599511573
500,0.00019419692398514599,6.50016975402832,1.0,0.1633838713169098,27.952861225367496
600,6.559891335200518e-05,6.744787216186523,1.0,0.16720986366271973,28.386682578951177
700,2.2395628548110835e-05,7.0000996589660645,1.0,0.17089414596557617,28.82370496643642
800,7.697180080867838e-06,7.263693332672119,1.0,0.17415332794189453,29.263609784386205
900,2.6560524020169396e-06,7.532546520233154,1.0,0.17812101542949677,29.703747391646864
1000,9.125183169089723e-07,7.79862117767334,1.0,0.18052996695041656,30.134294695556747
1100,3.1566128200211097e-07,8.050442695617676,1.0,0.182088702917099,30.53932393999423
1200,1.2057773801643634e-07,8.234697341918945,1.0,0.18350574374198914,30.860140993806166
1300,3.274200111036407e-08,8.312373161315918,1.0,0.18279722332954407,31.10400580842606
1400,0.0004813858540728688,8.948485374450684,1.0,0.1326342672109604,31.88847644175581
1500,0.00014123949222266674,8.961589813232422,1.0,0.1443956345319748,31.952932073923293
1600,5.7027275033760816e-05,8.978161811828613,1.0,0.1510556936264038,32.01908994607973
1700,2.340256833122112e-05,8.99847412109375,1.0,0.15884937345981598,32.09856541260165
1800,9.542969564790837e-06,9.027039527893066,1.0,0.16621793806552887,32.19356088587389
1900,3.870643013215158e-06,9.068465232849121,1.0,0.17202776670455933,32.30562352589637
2000,1.5604642840116867e-06,9.126228332519531,1.0,0.17642056941986084,32.436093969587084
2100,6.202732834026392e-07,9.202993392944336,1.0,0.18152189254760742,32.58508819283764
2200,2.3157616624303046e-07,9.288739204406738,1.0,0.18449766933918,32.74362850560232
2300,7.31373219764464e-08,9.34296703338623,1.0,0.18633981049060822,32.87661721630678
2400,1.981752717483687e-08,9.241280555725098,1.0,0.18733172118663788,32.925511179172055
2500,1.9462737199660296e-08,9.013842582702637,1.0,0.1888904571533203,32.94388414639669
2600,1.667510574066e-08,8.757024765014648,1.0,0.19229134917259216,33.0060614289848
2700,1.956410677905751e-08,8.574612617492676,1.0,0.1939917802810669,33.13063458777433
2800,2.6659893848091087e-08,8.468350410461426,1.0,0.19668413698673248,33.31840884335935
2900,0.0010166518623009324,10.241345405578613,1.0,0.11548816412687302,33.98977643706362
3000,3.9028775063343346e-05,10.196111679077148,1.0,0.14227008819580078,34.14473510620944
3100,1.5090029592101928e-05,10.202138900756836,1.0,0.15275612473487854,34.18611358070856
3200,6.185016900417395e-06,10.212017059326172,1.0,0.15785744786262512,34.23503999538112
3300,2.5280228328483645e-06,10.224154472351074,1.0,0.1633838713169098,34.293676921353025
3400,1.0164205832552398e-06,10.239097595214844,1.0,0.17075245082378387,34.36266683942233
3500,3.9482998204221076e-07,10.25874137878418,1.0,0.1771290898323059,34.44144638967917
3600,1.4455137886670855e-07,10.269659996032715,1.0,0.18109677731990814,34.521180465296645
3700,3.877342180658161e-08,10.210649490356445,1.0,0.18577298521995544,34.57932410886596
3800,2.8535213303371165e-08,9.870450019836426,1.0,0.19002409279346466,34.61238656644982
3900,2.9092740660985328e-08,9.32529354095459,1.0,0.1959756314754486,34.699853782770234
4000,2.366952855936688e-08,8.84567642211914,1.0,0.2012186497449875,34.87715703919363
4100,4.450074087003486e-08,8.567919731140137,1.0,0.205611452460289,35.14636362274469
4200,4.885958304612359e-08,8.451752662658691,1.0,0.2057531476020813,35.48294350700038
4300,3.71008432864528e-08,8.416980743408203,1.0,0.20731188356876373,35.869064492135244
4400,3.654331592883864e-08,8.406961441040039,1.0,0.207736998796463,36.300283859743566
4500,5.833753391470964e-08,8.383729934692383,1.0,0.20858721435070038,36.780917109515016
4600,2.2351738238057806e-08,8.436572074890137,1.0,0.2102876603603363,37.313104427698555
4700,1.6371000555182036e-08,8.477070808410645,1.0,0.20901232957839966,37.89596466775306
4800,1.4191580355316091e-08,8.490994453430176,1.0,0.2101459503173828,38.53121221046749
4900,2.929547449070924e-08,8.477311134338379,1.0,0.21212980151176453,39.222081657799194
5000,5.073490072504683e-08,8.474567413330078,1.0,0.2128383219242096,39.96713330498888
5100,2.681194644083007e-08,8.529435157775879,1.0,0.21425534784793854,40.76990533386463
5200,6.203747204835963e-08,8.492288589477539,1.0,0.2151055634021759,41.6307852842941
5300,2.802836895909877e-08,8.580632209777832,1.0,0.21312172710895538,42.54937690842147
5400,1.7232633098274164e-08,8.633587837219238,1.0,0.21340513229370117,43.52772013920364
5500,1.794221127227047e-08,8.66443920135498,1.0,0.21326342225074768,44.564320522495514
5600,3.319815888858102e-08,8.634235382080078,1.0,0.21468046307563782,45.66086852526288
5700,3.6796738100974835e-08,8.664440155029297,1.0,0.21439705789089203,46.82095980387726
