step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.59766960144043,4.6053690910339355,0.012043925002217293,0.00926207099109888,21.73651202320544
100,0.06562338769435883,4.383620262145996,1.0,0.2921348214149475,25.879290484778867
200,0.0071300421841442585,4.5011067390441895,1.0,0.2998785376548767,26.764535952944733
300,0.001952443621121347,4.622689247131348,1.0,0.3009413778781891,27.262667355492507
400,0.0006116738077253103,4.7565836906433105,1.0,0.30185240507125854,27.717396950032178
500,0.00020115617371629924,4.902491569519043,1.0,0.3030671179294586,28.161416610021686
600,6.762219709344208e-05,5.061559200286865,1.0,0.3044336438179016,28.604418265240128
700,2.3017792045720853e-05,5.233796119689941,1.0,0.3047373294830322,29.049338001644074
800,7.89970454206923e-06,5.417275905609131,1.0,0.30488917231559753,29.496332773089943
900,2.728845856836415e-06,5.6085124015808105,1.0,0.3062556982040405,29.942633535125548
1000,9.318842444372422e-07,5.802670955657959,1.0,0.30640754103660583,30.381925640394194
1100,3.086857134348975e-07,5.9865851402282715,1.0,0.3061038553714752,30.793433092438875
1200,1.263035471765761e-07,6.122443675994873,1.0,0.30671119689941406,31.120799124189173
1300,7.740368346276227e-08,6.174562931060791,1.0,0.3059520125389099,31.306126821238017
1400,0.0005365206743590534,6.160141944885254,1.0,0.30337077379226685,32.15060905546357
1500,0.0001603260898264125,6.146803379058838,1.0,0.3039781451225281,32.211877279316994
1600,6.577124440809712e-05,6.1424241065979,1.0,0.30488917231559753,32.27629099361917
1700,2.7316978957969695e-05,6.1397600173950195,1.0,0.30534467101097107,32.3552354059837
1800,1.1254865967202932e-05,6.143273830413818,1.0,0.30504098534584045,32.45121476036829
1900,4.592478489939822e-06,6.160226345062256,1.0,0.30519282817840576,32.56599785179878
2000,1.8570951851870632e-06,6.196087837219238,1.0,0.3058001697063446,32.70120174886422
2100,7.31428656308708e-07,6.252040386199951,1.0,0.30716672539711,32.85750764173087
2200,2.7532570356925135e-07,6.322048187255859,1.0,0.30822956562042236,33.0268662067384
2300,9.585725280203405e-08,6.367280006408691,1.0,0.30777406692504883,33.15565228344091
2400,4.598615177542342e-08,6.347653388977051,1.0,0.30792590975761414,33.20027819989156
2500,4.277683274267474e-08,6.262545585632324,1.0,0.30792590975761414,33.23210163997668
2600,4.3325794507609316e-08,6.16730260848999,1.0,0.30777406692504883,33.31107118801194
2700,3.990533770092952e-08,6.104977607727051,1.0,0.30716672539711,33.46461027649093
2800,6.62977512888574e-08,6.118549346923828,1.0,0.30822956562042236,33.70226554687771
2900,1.4104107215473505e-08,6.1424736976623535,1.0,0.30792590975761414,34.01075851584511
3000,4.809706297237426e-05,6.868131637573242,1.0,0.30777406692504883,34.666516207782784
3100,1.7121017663157545e-05,6.838250160217285,1.0,0.30777406692504883,34.69978757123055
3200,7.1055128501029685e-06,6.817241191864014,1.0,0.30822956562042236,34.73812130795026
3300,2.974439439640264e-06,6.795890808105469,1.0,0.308533251285553,34.7851683261332
3400,1.225916093972046e-06,6.774208068847656,1.0,0.30974796414375305,34.84242228789697
3500,4.884918780589942e-07,6.754662990570068,1.0,0.3102034628391266,34.91013682104129
3600,1.8533809509335697e-07,6.737707614898682,1.0,0.3115699887275696,34.98183563514168
