step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.597899436950684,4.599374771118164,0.012043925002217293,0.00971758272498846,21.745498805321443
100,0.13037541508674622,3.8387136459350586,1.0,0.2998785376548767,23.80571606217153
200,0.28880035877227783,4.099376678466797,0.979100227355957,0.2555420696735382,23.17962470454333
300,0.012100067920982838,3.188758611679077,1.0,0.3420892655849457,22.93588800066421
400,0.006532421801239252,3.101494550704956,1.0,0.35074400901794434,22.48182484866711
500,0.002837772946804762,2.9535365104675293,1.0,0.36486485600471497,22.73963571200955
600,0.014940152876079082,1.609607219696045,1.0,0.5402368903160095,23.169777619473052
700,0.010974126867949963,1.4862008094787598,1.0,0.5879137516021729,22.142655072974822
800,0.03384636342525482,0.6515681147575378,1.0,0.8534770607948303,22.974188200303487
900,0.012429299764335155,0.32408463954925537,1.0,0.9688733816146851,22.137085810971953
1000,0.006917974445968866,0.15001645684242249,1.0,0.9948375225067139,22.305167727300258
1100,0.0028242364060133696,0.03443678840994835,1.0,0.9987853169441223,22.99742017973464
1200,0.00116668117698282,0.007796840276569128,1.0,1.0,23.761199437422114
1300,0.000500471971463412,0.0020176435355097055,1.0,1.0,24.62113806709037
1400,0.0002847420400939882,0.000816340500023216,1.0,1.0,25.610360092149392
1500,0.0015749159501865506,0.0035357014276087284,1.0,1.0,24.917757665668702
1600,0.0020454402547329664,0.004101593978703022,1.0,1.0,24.034868567433268
