step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.594192981719971,4.59976053237915,0.010095642879605293,0.009743135422468185,21.745498805321443
100,0.11379249393939972,3.5447609424591064,1.0,0.3906111717224121,25.509864810399826
200,0.011047051288187504,3.069946527481079,1.0,0.42568644881248474,25.97935267648444
300,0.003385663963854313,2.8020780086517334,1.0,0.4451727271080017,25.97138481278216
400,0.001160552492365241,2.5466670989990234,1.0,0.4729849398136139,25.99698036395811
500,0.00041033298475667834,2.2821555137634277,1.0,0.5064659118652344,26.091681062844557
600,0.0032245712354779243,1.323960781097412,1.0,0.6318866014480591,26.80306011209161
700,0.0014096384402364492,1.160072922706604,1.0,0.6671390533447266,26.276463095843706
800,0.0007743448950350285,1.0840058326721191,1.0,0.6915854811668396,25.90461644746402
900,0.0003824271261692047,1.0400707721710205,1.0,0.7034543752670288,25.76186591989157
1000,0.00016884937940631062,0.9911342859268188,1.0,0.7167404890060425,25.83863986902982
1100,6.866222975077108e-05,0.9153075814247131,1.0,0.7371124625205994,26.08100377866056
1200,2.670128014869988e-05,0.8140066862106323,1.0,0.7666962146759033,26.43295370874937
1300,1.0189444765273947e-05,0.6935691237449646,1.0,0.802302896976471,26.856028081062984
1400,3.878124061884591e-06,0.5611880421638489,1.0,0.8430469632148743,27.321343443974
1500,0.0008398117497563362,0.23995065689086914,1.0,0.9371125102043152,27.610258669007653
1600,0.0004656343371607363,0.15785643458366394,1.0,0.9604960083961487,26.88675470231478
1700,0.00028916614246554673,0.09861117601394653,1.0,0.9805137515068054,26.257858929760456
1800,0.0001764718326739967,0.06057262048125267,1.0,0.9913197755813599,25.78699832352019
1900,9.966437937691808e-05,0.04004773870110512,1.0,0.9937998056411743,25.55589724361661
2000,4.880493725067936e-05,0.02700142003595829,1.0,0.9945083856582642,25.60757913145494
2100,2.1012447177781723e-05,0.01749575138092041,1.0,0.9959256052970886,25.890206691475512
2200,8.361690561287105e-06,0.010506446473300457,1.0,0.9976970553398132,26.309531340391963
2300,3.219686732336413e-06,0.0054869758896529675,1.0,0.9987599849700928,26.785722646823267
2400,1.23427730613912e-06,0.002372482791543007,1.0,0.9998228549957275,27.255704570611346
2500,4.86496617213561e-07,0.000868355855345726,1.0,0.9998228549957275,27.641167960497963
2600,2.372783995951977e-07,0.0002758546033874154,1.0,1.0,27.846121295990596
2700,1.1838582736345415e-07,9.226099791703746e-05,1.0,1.0,27.861762199206893
2800,0.000416246650274843,0.00736855436116457,1.0,0.9996457099914551,28.0265761728549
