step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.602426052093506,4.596541404724121,0.009564293548464775,0.011514614336192608,21.736871635613124
100,0.10068986564874649,1.9517401456832886,1.0,0.5066430568695068,25.114650503227704
200,0.010375980287790298,0.7997475862503052,1.0,0.8230292201042175,25.412620894723513
300,0.0031594939064234495,0.32013195753097534,1.0,0.9546501040458679,25.327981903887316
400,0.0010854267748072743,0.10751495510339737,1.0,0.9922055006027222,25.277740634041606
500,0.018291188403964043,0.16855572164058685,1.0,0.9817537665367126,25.844093931899465
600,0.0013308449415490031,0.01877220906317234,1.0,0.9994685649871826,25.6266450997274
700,0.0007327307248488069,0.012124855071306229,1.0,0.9992914199829102,25.228898465109662
800,0.0003615983878262341,0.008229665458202362,1.0,0.9994685649871826,25.040012971575393
900,0.00015872791118454188,0.005381754599511623,1.0,0.9996457099914551,25.047395918857756
1000,6.407028558896855e-05,0.0033651553094387054,1.0,0.9998228549957275,25.19826193629
