step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.601287364959717,4.598804473876953,0.009032943286001682,0.00992028322070837,21.746347561220677
100,0.16623574495315552,2.311467170715332,1.0,0.4536758065223694,23.79090426745776
200,0.020565098151564598,0.8437827229499817,1.0,0.8324180841445923,23.096364773372038
300,0.01396859809756279,0.13661490380764008,1.0,0.9948627352714539,23.053968259460337
400,0.0066094789654016495,0.05342556908726692,1.0,0.9985828399658203,21.95619923716098
500,0.0033292241860181093,0.023492466658353806,1.0,0.9996457099914551,21.62698130989891
600,0.001457435660995543,0.008124410174787045,1.0,1.0,21.866358812186586
700,0.0027021155692636967,0.007222368847578764,1.0,1.0,22.124773555886524
800,0.0029704621993005276,0.008761783130466938,1.0,1.0,21.321950489291698
900,0.0015525032067671418,0.0041433977894485,1.0,1.0,21.86921182726152
