step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.59766960144043,4.6053690910339355,0.012043925002217293,0.00926207099109888,21.73651202320544
100,0.07123640179634094,4.364064693450928,1.0,0.2924385070800781,25.663517644393405
200,0.008087112568318844,4.440128803253174,1.0,0.2994230091571808,26.356794112818804
300,0.002324867993593216,4.5208964347839355,1.0,0.3015487492084503,26.66902451462142
400,0.000757180096115917,4.616088390350342,1.0,0.30230793356895447,26.957413981565608
500,0.00025723117869347334,4.725990295410156,1.0,0.3032189607620239,27.254750921276486
600,8.905280265025795e-05,4.852654457092285,1.0,0.304129958152771,27.570323341198563
700,3.116175503237173e-05,4.994783401489258,1.0,0.3047373294830322,27.906478184315457
800,1.0987839232257102e-05,5.14870548248291,1.0,0.30655935406684875,28.262469520325055
900,4.0099503166857176e-06,5.315832614898682,1.0,0.30640754103660583,28.63366287494441
1000,0.0008413330651819706,5.210489273071289,1.0,0.304129958152771,29.364260438458242
1100,0.0003594853333197534,5.130005359649658,1.0,0.3058001697063446,29.17496157210557
1200,0.00016611009777989239,5.05759859085083,1.0,0.30807775259017944,29.022241547574982
1300,7.627782179042697e-05,5.012664318084717,1.0,0.30944427847862244,28.91989842200589
1400,3.4628508728928864e-05,5.008965015411377,1.0,0.3106589615345001,28.880201264698147
1500,1.5391235137940384e-05,5.051746845245361,1.0,0.3117218315601349,28.9148912790155
1600,6.628692972299177e-06,5.140994548797607,1.0,0.31293654441833496,29.029786562708246
1700,2.745651499935775e-06,5.271300315856934,1.0,0.31248101592063904,29.220271010687753
1800,1.0895205377892125e-06,5.430404186248779,1.0,0.31232917308807373,29.467813385768068
1900,4.125240309349465e-07,5.598792552947998,1.0,0.3120255172252655,29.732444915207036
2000,1.7296532917043805e-07,5.7276177406311035,1.0,0.3120255172252655,29.91491489532432
2100,9.589948035682028e-08,5.7797980308532715,1.0,0.3120255172252655,29.941578655732577
2200,7.068945251376135e-08,5.790531158447266,1.0,0.31081080436706543,29.90297261456843
2300,0.0020641356240957975,5.712630271911621,1.0,0.30944427847862244,30.50229928122582
2400,0.00021603607456199825,5.4629645347595215,1.0,0.3130883574485779,30.315130955052133
2500,9.747791773406789e-05,5.331462383270264,1.0,0.31445491313934326,30.07908051902065
2600,4.467847247724421e-05,5.200362205505371,1.0,0.31703615188598633,29.86889067031533
2700,2.0444998881430365e-05,5.086296558380127,1.0,0.3194655478000641,29.69181105264426
2800,9.39420351642184e-06,5.007193088531494,1.0,0.32007288932800293,29.557130476331597
2900,4.318673745729029e-06,4.976346969604492,1.0,0.32341331243515015,29.476771003387356
3000,1.9636356682894984e-06,4.997750282287598,1.0,0.3237169682979584,29.46337980908043
3100,8.697248290445714e-07,5.064941883087158,1.0,0.32462799549102783,29.52398531622354
3200,3.693671430937684e-07,5.158477783203125,1.0,0.32493168115615845,29.64123828838957
3300,1.6870032482074748e-07,5.24744176864624,1.0,0.3237169682979584,29.731928594269654
3400,9.75885967591239e-08,5.30548095703125,1.0,0.3228059411048889,29.716873441739185
3500,6.486200732069847e-08,5.337941646575928,1.0,0.32007288932800293,29.66764227580451
3600,0.010621301829814911,5.653895854949951,1.0,0.30777406692504883,30.10386907388985
3700,0.0001316061388934031,4.733327388763428,1.0,0.32614636421203613,30.174799981442963
3800,6.0018468502676114e-05,4.60786247253418,1.0,0.3302459716796875,29.942489024036714
3900,2.8205322450958192e-05,4.484701633453369,1.0,0.3349529206752777,29.738750055790735
4000,1.3041370038990863e-05,4.378787040710449,1.0,0.3410264253616333,29.572202722392973
4100,5.958751444268273e-06,4.310014724731445,1.0,0.3439113199710846,29.451512920983923
4200,2.7014391434931895e-06,4.288844108581543,1.0,0.34664440155029297,29.386909817696964
4300,1.1998619129371946e-06,4.3147711753845215,1.0,0.3489219546318054,29.388065695056728
4400,5.135329956829082e-07,4.3796586990356445,1.0,0.3483146131038666,29.45353377995941
4500,2.1755796808520245e-07,4.460402011871338,1.0,0.3472517430782318,29.538385691065958
4600,1.1473311190002278e-07,4.535465717315674,1.0,0.3443668484687805,29.5490398216673
4700,8.204875001638356e-08,4.6025614738464355,1.0,0.3420892655849457,29.51062392700867
4800,6.401744911954665e-08,4.6449456214904785,1.0,0.3392043709754944,29.4988116969845
4900,0.0012245865073055029,4.220003128051758,1.0,0.34467050433158875,30.224572603468335
5000,0.00021103271865285933,3.9489779472351074,1.0,0.35833585262298584,29.992817678104235
5100,9.987177327275276e-05,3.8109395503997803,1.0,0.3636501729488373,29.7474635210364
5200,4.723656456917524e-05,3.6719627380371094,1.0,0.3682052791118622,29.526327487369404
5300,2.1976124116918072e-05,3.5437369346618652,1.0,0.37549346685409546,29.336029180038704
5400,1.0195127288170625e-05,3.4471380710601807,1.0,0.38445186614990234,29.184884255290562
5500,4.7417101995961275e-06,3.3966195583343506,1.0,0.38733676075935364,29.084544970306332
5600,2.197155254179961e-06,3.395273208618164,1.0,0.3911327123641968,29.049273462821475
5700,9.966194056687527e-07,3.4347846508026123,1.0,0.3918918967247009,29.09104407032122
5800,4.3013304207306646e-07,3.4991416931152344,1.0,0.3896143436431885,29.20461995261554
5900,1.9505050374846178e-07,3.5793967247009277,1.0,0.3870331048965454,29.32827880376187
6000,1.1515539455331236e-07,3.6789674758911133,1.0,0.38323718309402466,29.383792494541943
6100,0.0020881446544080973,3.3402388095855713,1.0,0.3788338899612427,29.995722797380616
6200,0.0005005248822271824,3.0558667182922363,1.0,0.40327969193458557,29.74749445663718
6300,0.00022303135483525693,2.853278398513794,1.0,0.4222593307495117,29.502203817543055
6400,9.915852569974959e-05,2.6408605575561523,1.0,0.4398724436759949,29.27799106520735
6500,4.429054752108641e-05,2.4519474506378174,1.0,0.46401458978652954,29.080337836998382
6600,2.0178593331365846e-05,2.319826364517212,1.0,0.4799574911594391,28.917461075103244
6700,9.376850357512012e-06,2.255674362182617,1.0,0.4919526278972626,28.801943585397453
6800,4.4106463974458165e-06,2.250697612762451,1.0,0.4969632625579834,28.750787830232177
6900,2.0616466827050317e-06,2.2862744331359863,1.0,0.4952930510044098,28.78347979895086
7000,9.287170428251557e-07,2.344301223754883,1.0,0.4911934435367584,28.911656313521338
7100,3.9010100749692356e-07,2.406949520111084,1.0,0.4875493347644806,29.11364186754367
