step,train_loss,test_loss,train_acc,test_acc,weight_norm
0,4.604361534118652,4.597073554992676,0.009353741072118282,0.011194558814167976,21.736871635613124
100,0.05856815725564957,5.50274658203125,1.0,0.11421284079551697,25.583653370130996
200,0.007572060450911522,5.760162830352783,1.0,0.14028623700141907,26.191452453744187
300,0.002206964883953333,5.9316487312316895,1.0,0.15318123996257782,26.485795656574588
400,0.0007263010484166443,6.111727714538574,1.0,0.16125832498073578,26.76179622426353
500,0.00024861653218977153,6.306609153747559,1.0,0.1657928228378296,27.050540144089865
600,8.642753527965397e-05,6.517103672027588,1.0,0.1723111867904663,27.360145054277435
700,3.029642357432749e-05,6.740164279937744,1.0,0.17585375905036926,27.69181186473819
800,1.0689041118894238e-05,6.972202777862549,1.0,0.17897123098373413,28.04397085254627
900,3.7997890558472136e-06,7.211461067199707,1.0,0.18067167699337006,28.412602837800357
1000,0.1843394786119461,8.377345085144043,0.9723639488220215,0.06475839763879776,29.12124958755383
1100,0.0009967652149498463,7.835456848144531,1.0,0.1392943114042282,29.355693848953102
1200,0.0004273397207725793,7.728107929229736,1.0,0.15034717321395874,29.15795379005116
1300,0.00019055874145124108,7.620766639709473,1.0,0.16423408687114716,28.99203687351559
1400,8.489876199746504e-05,7.534214019775391,1.0,0.1725945919752121,28.8672520435877
1500,3.77621290681418e-05,7.489438533782959,1.0,0.1793963462114334,28.793317246424042
1600,1.669805533310864e-05,7.500054359436035,1.0,0.18279722332954407,28.781199870354865
1700,7.268440640473273e-06,7.572580814361572,1.0,0.18577298521995544,28.84070480287898
1800,3.081189561271458e-06,7.7062907218933105,1.0,0.18818195164203644,28.975249288920462
1900,1.2611237707460532e-06,7.890504360198975,1.0,0.1893155723810196,29.174306659422005
2000,4.969080009686877e-07,8.105467796325684,1.0,0.19087430834770203,29.409210846048563
2100,2.0177385806618986e-07,8.27729320526123,1.0,0.1912994235754013,29.596688446972284
2200,7.835779314291358e-08,8.422534942626953,1.0,0.1914411187171936,29.72760480174715
2300,0.2128688395023346,9.283348083496094,0.9630101919174194,0.07212696969509125,29.942915532112877
2400,0.0003493031545076519,9.003625869750977,1.0,0.13433469831943512,30.260863632803947
2500,0.00015087841893546283,8.84705924987793,1.0,0.14567096531391144,30.010834640001658
2600,6.852073420304805e-05,8.674877166748047,1.0,0.15714892745018005,29.78022904438876
