step,train_loss,test_loss,train_acc,test_acc,weight_norm,attn_entropy,attn_operand_entropy,attn_operand_frac,attn_asymmetry
1600,0.42372214794158936,3.204695463180542,0.9156925082206726,0.30185240507125854,30.797569516444455,0.7216618061065674,0.6691927909851074,0.9891262054443359,0.16367009282112122
1700,0.008282859809696674,0.5011261105537415,1.0,0.8976616859436035,29.112838423888615,0.899863600730896,0.683488667011261,0.923481822013855,0.0957813560962677
1800,0.007510075345635414,0.33689549565315247,1.0,0.9579411149024963,27.727412585282497,0.8946471214294434,0.6857695579528809,0.9272646903991699,0.08358541876077652
1900,0.00409514969214797,0.1409454345703125,1.0,0.9916489720344543,27.950289049400723,0.8256148099899292,0.6862207651138306,0.9599218368530273,0.08266093581914902
2000,0.0017557395622134209,0.036939214915037155,1.0,0.9983298182487488,28.629361936381688,0.7973500490188599,0.6882280111312866,0.9715501666069031,0.07019482553005219
2100,0.0007429802208207548,0.009520563296973705,1.0,0.9998481869697571,29.326764419849525,0.7922450304031372,0.6903461813926697,0.9741196632385254,0.05333762615919113
2200,0.0003168990951962769,0.002699285512790084,1.0,1.0,30.075792117607772,0.7912507057189941,0.6917517185211182,0.9749544858932495,0.03823348134756088
2300,0.00013617869990412146,0.0008098540711216629,1.0,1.0,30.901237283567607,0.7906681299209595,0.6925215721130371,0.9754166603088379,0.026329226791858673
2400,5.833710019942373e-05,0.0002497374371159822,1.0,1.0,31.76873629953477,0.7916799783706665,0.6928948163986206,0.975210964679718,0.0174570232629776
2500,0.0024316192138940096,0.006264588329941034,1.0,1.0,31.153678755413925,1.0220465660095215,0.6928804516792297,0.8389662504196167,0.015897177159786224
2600,0.0036288942210376263,0.00816936232149601,1.0,1.0,28.998926703695098,1.0306074619293213,0.6930325031280518,0.8297759294509888,0.010508693754673004
2700,0.0026372335851192474,0.005832850933074951,1.0,1.0,28.696877824863357,0.947882890701294,0.693096935749054,0.9004315137863159,0.007632076740264893
2800,0.0011376738548278809,0.002575114369392395,1.0,1.0,29.43935403453534,0.872031569480896,0.6931207180023193,0.9429731965065002,0.005862832069396973
2900,0.0004902693326584995,0.0010568383149802685,1.0,1.0,30.310427932449734,0.835750937461853,0.6931381821632385,0.9589211940765381,0.003545142710208893
3000,0.00021377111261244863,0.00040831396472640336,1.0,1.0,31.250773887533175,0.8190426230430603,0.6931445598602295,0.9655320644378662,0.002031467854976654
3100,0.0019912729039788246,0.0037876833230257034,1.0,1.0,31.146482399803226,0.9816244840621948,0.6931247115135193,0.8753010034561157,0.005091950297355652
3200,0.003235471434891224,0.005602722056210041,1.0,1.0,29.285146353775332,0.9783604145050049,0.693140983581543,0.8785357475280762,0.0026724636554718018
3300,0.0017012299504131079,0.0029074656777083874,1.0,1.0,29.230085459444165,0.911913275718689,0.6931459307670593,0.9223911166191101,0.0013124197721481323
3400,0.0007754209218546748,0.001381614594720304,1.0,1.0,29.787608880363564,0.8737205266952515,0.6931459903717041,0.9421855211257935,0.0012683197855949402
3500,0.00714903324842453,0.011995852924883366,1.0,0.9996963143348694,30.904997295283472,0.948738694190979,0.6931335926055908,0.8982281684875488,0.0038908645510673523
3600,0.0035274557303637266,0.0052526178769767284,1.0,1.0,28.710052962842813,0.9939650297164917,0.6931453943252563,0.8647218942642212,0.0013947486877441406
3700,0.003199612023308873,0.004483814816921949,1.0,1.0,27.998040564708482,0.9595065712928772,0.6931463479995728,0.8915775418281555,0.0011082291603088379
3800,0.0015000577550381422,0.002033389639109373,1.0,1.0,28.373914129388147,0.9327591061592102,0.693146824836731,0.9092056751251221,0.0006725490093231201
3900,0.03855335712432861,0.05418822914361954,0.9996457695960999,0.9990890026092529,29.510639566378043,0.9653987884521484,0.6931437253952026,0.887070894241333,0.0019124746322631836
4000,0.0054411012679338455,0.00840329471975565,1.0,1.0,28.00362782826141,0.9918466806411743,0.6931443214416504,0.8663766384124756,0.001855224370956421
4100,0.030732465907931328,0.03981386870145798,1.0,0.9998481869697571,27.949991503059124,0.875328004360199,0.6931386590003967,0.9386608600616455,0.0034210532903671265
4200,0.00873232539743185,0.011231736280024052,1.0,1.0,26.649127374208117,0.9560024738311768,0.693145751953125,0.8928643465042114,0.0012663379311561584
4300,0.010484990663826466,0.01384799089282751,1.0,1.0,27.001929346650986,0.8402550220489502,0.6931412220001221,0.9564689993858337,0.0032360702753067017
4400,0.010332156904041767,0.013054083101451397,1.0,1.0,25.968182329802683,0.9197964668273926,0.6931470632553101,0.917483389377594,0.000401519238948822
4500,0.0049695284105837345,0.006058957427740097,1.0,1.0,26.498161999602292,0.9348697662353516,0.6931470036506653,0.908732533454895,0.00037144869565963745
