step,train_loss,test_loss,train_acc,test_acc,weight_norm,attn_entropy,attn_operand_entropy,attn_operand_frac,attn_asymmetry
0,4.59588623046875,4.598238945007324,0.010272759012877941,0.00971758272498846,21.745498772429315,1.0978748798370361,0.6931253671646118,0.6734249591827393,0.0041169822216033936
100,0.13079895079135895,5.0299482345581055,1.0,0.16292135417461395,24.066414995066896,0.6767081022262573,0.6579713821411133,0.9966970682144165,0.18889090418815613
200,0.020284363999962807,4.940426826477051,1.0,0.21044640243053436,23.4397431143304,0.6934900283813477,0.665630042552948,0.9947069883346558,0.16319540143013
300,0.01411869190633297,4.996200084686279,1.0,0.22289705276489258,23.475905129824184,0.698372483253479,0.6626784801483154,0.9930981397628784,0.17400798201560974
400,0.009159182198345661,4.886887073516846,1.0,0.23033708333969116,22.68939251144756,0.7118765115737915,0.6661128997802734,0.9906319379806519,0.1621752381324768
500,0.004391849972307682,4.937377452850342,1.0,0.2354995459318161,22.835903392988715,0.7217286229133606,0.6674615740776062,0.9884805679321289,0.15670311450958252
600,0.24212747812271118,5.409647464752197,0.9936237931251526,0.1544184684753418,24.03415982828784,0.6871569752693176,0.6586834192276001,0.9945518374443054,0.18578067421913147
700,0.012360664084553719,4.516941070556641,1.0,0.25007590651512146,23.188435963651163,0.7248350977897644,0.6663913130760193,0.9871901273727417,0.16111692786216736
800,0.010240168310701847,4.337043285369873,1.0,0.25614941120147705,22.954359767669036,0.7239084839820862,0.6664398312568665,0.9876664876937866,0.16112884879112244
900,0.014501037076115608,3.8433046340942383,1.0,0.28697237372398376,24.202770152348403,0.7242116332054138,0.6668952703475952,0.9877142906188965,0.1612393856048584
1000,0.014415105804800987,3.606677532196045,1.0,0.29122379422187805,23.62933947271899,0.7121970057487488,0.6669908761978149,0.990935206413269,0.16085124015808105
1100,0.006825265474617481,3.3799872398376465,1.0,0.3088369369506836,24.583902356683026,0.6982685327529907,0.6670321226119995,0.9942694902420044,0.16105014085769653
1200,0.002811505226418376,3.069467067718506,1.0,0.33738231658935547,25.77544179195345,0.6948960423469543,0.6679738759994507,0.9952219724655151,0.1578465849161148
1300,0.0011664631310850382,2.6963133811950684,1.0,0.3850592076778412,26.97624747841064,0.6948720812797546,0.6693817377090454,0.9955295920372009,0.15281781554222107
1400,0.0004883931833319366,2.289259195327759,1.0,0.4371393918991089,28.173253614261583,0.6958329677581787,0.6710041761398315,0.9956705570220947,0.14674776792526245
1500,0.0002062818966805935,1.8842731714248657,1.0,0.5081992149353027,29.36373713076119,0.697192907333374,0.672703742980957,0.9957426190376282,0.1400848925113678
