run,n_heads,seed,final_test_acc,attn_entropy,attn_operand_entropy,attn_operand_frac,attn_asymmetry
p97_frac0.30_wd1_seed0_h1,1,0,1.0,0.7913594841957092,0.6931430101394653,0.9754570126533508,0.0028301477432250977
p97_frac0.30_wd1_seed1_h1,1,1,1.0,0.7780727744102478,0.6931198835372925,0.9797568321228027,0.007234901189804077
p97_frac0.30_wd1_seed2_h1,1,2,1.0,0.7863149642944336,0.6931463479995728,0.9771257042884827,0.0012702345848083496
p97_frac0.30_wd1_seed3_h1,1,3,1.0,0.8192150592803955,0.6931371688842773,0.9655231237411499,0.004313737154006958
p97_frac0.30_wd1_seed4_h1,1,4,1.0,0.8746535778045654,0.6931423544883728,0.9418638944625854,0.0029210150241851807
p97_frac0.30_wd1_seed0_h2,2,0,1.0,0.826011061668396,0.6930215954780579,0.962745189666748,0.015154629945755005
p97_frac0.30_wd1_seed1_h2,2,1,1.0,0.7961429357528687,0.6931130886077881,0.9737118482589722,0.007841169834136963
p97_frac0.30_wd1_seed2_h2,2,2,1.0,0.8176897764205933,0.6931338310241699,0.9660438299179077,0.0035529285669326782
p97_frac0.30_wd1_seed3_h2,2,3,1.0,0.9047571420669556,0.6930962800979614,0.9264723062515259,0.009032323956489563
p97_frac0.30_wd1_seed4_h2,2,4,0.9998481869697571,1.064516305923462,0.6931413412094116,0.7783730030059814,0.0025380104780197144
p97_frac0.30_wd1_seed0,4,0,1.0,1.0235326290130615,0.6931471824645996,0.8374109268188477,6.318092346191406e-05
p97_frac0.30_wd1_seed1,4,1,1.0,0.8259838819503784,0.6931455135345459,0.9627336263656616,0.0015338808298110962
p97_frac0.30_wd1_seed2,4,2,1.0,0.8191190958023071,0.6930354833602905,0.965517520904541,0.013334490358829498
p97_frac0.30_wd1_seed3,4,3,1.0,0.8597902655601501,0.6931439638137817,0.9487395286560059,0.0014983117580413818
p97_frac0.30_wd1_seed4,4,4,1.0,1.030203938484192,0.6931353807449341,0.8308485150337219,0.0037146881222724915
